Expérimentateur;Bande de fréquences;Fréquences attribuées (limite basse);Fréquences attribuées (limite haute);Numéro de la décision d'autorisation de l'Arcep;Lien de la décision d'autorisation de l'Arcep;Latitude;Longitude;Code INSEE;Commune;Département;Région;Début;Fin;Description;Techno - Massive MIMO;Techno - Beamforming/beamtracking;Techno - Duplexage temporel (mode TDD);Techno - Mode de fonctionnement NSA (Non Stand Alone);Techno - Mode de fonctionnement SA (Stand Alone);Techno - Synchronisation de réseaux;Techno - Network slicing;Techno - Small cells;Techno - Accès dynamique au spectre;Techno - 5G, 6G…;Usage - Mobilité connectée;Usage - Internet des objets;Usage - Ville intelligente;Usage - Réalité virtuelle;Usage - Télémédecine;Usage - Industrie du futur;Usage - Technique ou R&D;Usage - Autre
Safran;3,8 GHz;3900;4000;2023-0125;https://www.arcep.fr/uploads/tx_gsavis/23-0125.pdf;48,3413889;-1,18;35115;Fougères;Ille-et-Vilaine;Bretagne;2023-03-30;2026-03-29;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1
Université Paul-Sabatier;3,8 GHz;3800;3880;2023-0741;https://www.arcep.fr/uploads/tx_gsavis/23-0741.pdf;43,5634781;1,46551944;31062;Bellesserre;Haute-Garonne;Occitanie;2023-04-04;2026-04-03;"Plateforme d'expérimentation autOCampus pour expérimenter les véhicules et connectés ""in vivo"". Les usagers sont les chercheurs des laboratoires, les formateurs et des industriels.";0;0;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0
Numerisat;3,8 GHz;3900;4000;2023-0719;https://www.arcep.fr/uploads/tx_gsavis/23-0719.pdf;45,64523;5,871415;73051;Le Bourget-du-Lac;Savoie;Auvergne-Rhône-Alpes;2023-03-30;2026-03-29;Expérimentation pour tester et développer des cas d’usage 5G privés pour la sécurité en montagne.;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0
EDF;3,8 GHz;3900;4000;2023-1220;https://www.arcep.fr/uploads/tx_gsavis/23-1220.pdf;48,8972222222222;2,17;78146;Chatou;Yvelines;Île-de-France;2023-05-01;2026-04-30;En portant de nouveaux cas d’usage et en s’appuyant sur différentes fonctions techniques issues de l’écosystème 5G, la plateforme d’expérimentation d’EDF Lab Chatou vise à définir les modalités de migration des réseaux industriels cellulaires privés d’EDF vers la technologie 5G.;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;1;0;0
Athonet;3,8 GHz;3900;4000;2023-0127;https://www.arcep.fr/uploads/tx_gsavis/23-0127.pdf;48,8427139;2,31978527;75115;Paris;Paris;Île-de-France;2023-03-02;2026-03-01;Démonstrateur pour les solutions de connectivité 5G SA (Stand alone) développées par Athonet.;0;0;1;0;1;0;1;1;0;0;1;0;0;1;0;1;0;0
Athonet;2,6 GHz TDD;2575;2585;2023-0122;https://www.arcep.fr/uploads/tx_gsavis/23-0122.pdf;48,503878;2,191201;75115;Paris;Paris;Île-de-France;2023-01-17;2025-12-31;Démonstrateur pour les solutions de connectivité 5G SA (Stand alone) développées par Athonet.;0;0;1;1;1;0;1;1;0;0;0;1;0;1;0;1;0;1
Vedecom;2,6 GHz TDD;2575;2595;2023-0123;https://www.arcep.fr/uploads/tx_gsavis/23-0123.pdf;48,471003;2,053509;78646;Versailles;Yvelines;Île-de-France;2023-01-17;2025-12-31;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
B-COM;3,8 GHz;3900;4000;2023-0742;https://www.arcep.fr/uploads/tx_gsavis/23-0742.pdf;48,1210356;-1,6954197;35238;Rennes;Ille-et-Vilaine;Bretagne;2023-04-04;2025-12-31;L’objectif du projet « Engage 5G and beyond » est de construire et d’opérer un réseau de plateformes ouvertes, nationales et souveraines, offrant des services portés par la 5G pour l’expérimentation de cas d’usages orientés santé, énergie et industrie 4.0. Une offre de service permettra à des utilisateurs verticaux tiers (PMEs, start-up, laboratoires) de lancer leurs propres expérimentations appuyées sur la technologie 5G sur ces plateformes.Cette expérimentation se focalise sur le cas d’utilisation orienté santé.;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0
Unitel Technologies;3,8 GHz;3900;4000;2023-0743;https://www.arcep.fr/uploads/tx_gsavis/23-0743.pdf;43,4973889;5,34205555;13001;Aix-en-Provence;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;2023-04-04;2026-04-03;Expérimentation dans le cadre de nouveaux cas d'usage;1;1;1;0;1;1;1;0;0;0;0;1;1;0;0;1;0;0
Qualcomm;3,8 GHz;3900;4000;2023-1441;https://www.arcep.fr/uploads/tx_gsavis/23-1441.pdf;48,7605555555556;-3,46722222222222;22113;Lannion;Côtes-d'Armor;Bretagne;2023-07-01;2026-06-27;Expérimentation portant sur la connectivité 5G et fiabilité améliorée avec plusieurs cellules pour les cas d’utilisation verticaux de l’IoT industriel, optimisations RAN (Radio access network), y compris le contrôleur intelligent RAN et la planification intelligente.;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0
Orange;26 GHz;26500;27500;2023-0647;https://www.arcep.fr/uploads/tx_gsavis/23-0647.pdf;48,1269361;-1,6267111;35051;Cesson-Sévigné;Ille-et-Vilaine;Bretagne;2023-03-15;2025-03-14;Expérimentation dans le cadre de nouveaux cas d'usage;1;1;1;1;1;0;1;1;0;1;0;0;0;1;0;0;0;1
Conservatoire National des Arts et Métiers;3,8 GHz;3900;4000;2023-1193;https://www.arcep.fr/uploads/tx_gsavis/23-1193.pdf;48,8666666666667;2,35666666666667;75103;Paris;Paris;Île-de-France;2023-05-25;2026-05-24;Expérimentation dans le cadre de nouveaux cas d'usage;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0
Nokia Networks France;3,8 GHz;3900;4000;2023-1525;https://www.arcep.fr/uploads/tx_gsavis/23-1525.pdf;48,7583333333333;-3,45611111111111;22113;Lannion;Côtes-d'Armor;Bretagne;2023-09-01;2026-08-30;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0
CEA;26 GHz;26500;26900;2023-1192;https://www.arcep.fr/uploads/tx_gsavis/23-1192.pdf;45,195432;5,70964;38185;Grenoble;Isère;Auvergne-Rhône-Alpes;2023-05-25;2025-05-24;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ArcelorMittal France;3,8 GHz;3900;4000;2023-1442;https://www.arcep.fr/uploads/tx_gsavis/23-1442.pdf;49,322500000000005;6,093611111111111;57221;Florange;Moselle;Grand Est;2023-07-01;2026-06-30;Plateforme partagée et dédiée à l'expérimentation multi-sites et multi-applications reposant sur des technologies 4G/5G dans le monde industriel sidérurgique.;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0
SNCF;3,8 GHz;3900;4000;2023-1400;https://www.arcep.fr/uploads/tx_gsavis/23-1400.pdf;48,8219444444444;2,36861111111111;75113;Paris;Paris;Île-de-France;2023-06-27;2026-06-26;Expérimentation dans le cadre de nouveaux cas d'usage;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1
Orange;3,8 GHz;3800;3900;2023-1444;https://www.arcep.fr/uploads/tx_gsavis/23-1444.pdf;48,7555555555556;-3,45361111111111;22113;Lannion;Côtes-d'Armor;Bretagne;2023-06-01;2024-12-31;Plateforme de tests de services aux entreprises, délivrés sur la base de la technologie 5G privée sur Cloud AWS.;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;1;0;0
Alsatis;3,8 GHz;3900;4000;2023-1573;https://www.arcep.fr/uploads/tx_gsavis/23-1573.pdf;43,5927777777778;1,435;31555;Toulouse;Haute-Garonne;Occitanie;2023-08-01;2026-07-31;Expérimentation dans le cadre du projet Hi5. Le projet Hi5 consiste en la mise en place d'une infrastruture de connectivité mobile s'appuyant sur la technologie 5G, mutualisée, multi-services, dédiée pour la métropole de Toulouse, et destinée à porter des cas d'usage autour de 5 axes : événementiel - culture - transport (nouvelles mobilités) - connectivité des sites (infrastructures publiques) - éducation.;0;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0
Alsatis;3,8 GHz;3800;3900;2023-1874;https://www.arcep.fr/uploads/tx_gsavis/23-1874.pdf;43,6094444444444;1,39944444444444;31555;Toulouse;Haute-Garonne;Occitanie;2023-10-01;2026-09-30;"Expérimentation dans le cadre du projet 5G Vertical ISS. Ce projet vise le développement et la validation en environnement client d'un cœur de réseau 5G ""hybride"" et vise à expérimenter en environnement hospitalier de nouveaux cas d'usage liés au maintien des services de téléphonie en situation de crise et à l'aide à la protection/localisation du personnel technique (Protection Travailleur Isolé). L'expérimentation doit aussi permettre de valider la pertinence d'une solution de mobilité entre le réseau privé déployé et le réseau MVNO porté par une infrastructure opérateur de réseau ouvert au public.";0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1
Orange;3,8 GHz;3900;4000;2023-1806;https://www.arcep.fr/uploads/tx_gsavis/23-1806.pdf;43,2694444444444;5,39666666666667;13055;Marseille;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;2023-09-01;2024-12-31;Plateforme de tests de services aux entreprises, délivrés sur la base de la technologie 5G privée sur Cloud AWS.;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;1;0;0
Hub One;3,8 GHz;3900;4000;2023-2294;https://www.arcep.fr/uploads/tx_gsavis/23-2294.pdf;49,0094444444444;2,55916666666667;93073;Tremblay-en-France;Seine-Saint-Denis;Île-de-France;2023-10-17;2026-10-16;Expérimentation sur les fonctionnalités différenciantes de la technologie 5G (latence, gestion de la QoS, souplesse des trames de synchro) afin de répondre aux besoins grandissant d'entreprises industrielles pouvant être regroupées au sein d'un campus.;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;0;0
Alsatis;2,6 GHz TDD;2595;2615;2023-1744;https://www.arcep.fr/uploads/tx_gsavis/23-1744.pdf;43,6386111111111;1,555;31555;Toulouse;Haute-Garonne;Occitanie;2023-08-01;2026-07-31;Expérimentation dans le cadre du projet Hi5. Le projet Hi5 consiste en la mise en place d'une infrastruture de connectivité mobile s'appuyant sur la technologie 5G, mutualisée, multi-services, dédiée pour la métropole de Toulouse, et destinée à porter des cas d'usage autour de 5 axes : événementiel - culture - transport (nouvelles mobilités) - connectivité des sites (infrastructures publiques) - éducation.;0;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;1
Stanley Robotics;3,8 GHz;3900;4000;2023-1875;https://www.arcep.fr/uploads/tx_gsavis/23-1875.pdf;45,7230555555556;5,06944444444444;69299;Colombier-Saugnieu;Rhône;Auvergne-Rhône-Alpes;2023-10-02;2026-10-01;Expérimentation d'une solution de réseau 5G privé pour connecter des robots autonomes offrant un service de voiturier (sans laisser ses clés). En charge du stockage des véhicules, les robots optimisent l'usage de l'infrastructure.;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
B-COM;3,8 GHz;3900;4000;2023-1807;https://www.arcep.fr/uploads/tx_gsavis/23-1807.pdf;47,9858333333333;-1,74333333333333;35047;Bruz;Ille-et-Vilaine;Bretagne;2023-09-01;2025-12-31;Plateforme d'expérimentation 5G SA (Stand Alone) dans le cadre des travaux de la DGA-MI (Direction générale de l'armement - Maîtrise de l'information) liés aux systèmes de communication 5G souverains.;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
